"1995-1996 County To County Migration Inflows",,,,,,Indiana,,,,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,,,,
,,,,,,,,,,,
"Migration Into",,"Migration From",,,,Number,Number,Aggregate,,,
18,005,18,109,IN,"Morgan County",10,20,399,,,
18,005,39,061,OH,"Hamilton County",10,19,318,,,
18,005,58,000,SS,"Other Flows - Same State",163,315,4974,,,
18,005,59,000,DS,"Other Flows - Diff State",591,1295,23703,,,
18,005,59,001,DS,"Other Flows - Northeast",56,112,2328,,,
18,005,59,003,DS,"Other Flows - Midwest",190,420,7965,,,
18,005,59,005,DS,"Other Flows - South",255,592,9257,,,
18,005,59,007,DS,"Other Flows - West",90,171,4152,,,
18,005,57,009,FR,"Foreign - Other flows",31,63,840,,,
18,007,96,000,IN,"Benton County Tot Mig-US & For",264,512,6480,,,
18,007,97,000,IN,"Benton County Tot Mig-US",264,512,6480,,,
18,007,97,001,IN,"Benton County Tot Mig-Same St",191,358,4636,,,
18,007,97,003,IN,"Benton County Tot Mig-Diff St",73,154,1844,,,
18,007,18,007,IN,"Benton County Non-Migrants",3710,8865,120903,,,
18,007,18,157,IN,"Tippecanoe County",110,205,2703,,,
18,007,18,111,IN,"Newton County",14,26,327,,,
18,007,18,171,IN,"Warren County",14,28,365,,,
18,007,58,000,SS,"Other Flows - Same State",53,99,1241,,,
18,007,59,000,DS,"Other Flows - Diff State",73,154,1844,,,
18,009,96,000,IN,"Blackford Count Tot Mig-US & For",427,919,11481,,,
18,009,97,000,IN,"Blackford Count Tot Mig-US",427,919,11481,,,
18,009,97,001,IN,"Blackford Count Tot Mig-Same St",320,695,8950,,,
18,009,97,003,IN,"Blackford Count Tot Mig-Diff St",107,224,2531,,,
18,009,18,009,IN,"Blackford Count Non-Migrants",6369,14679,219028,,,
18,009,18,035,IN,"Delaware County",82,186,2146,,,
18,009,18,053,IN,"Grant County",57,118,1946,,,
18,009,18,179,IN,"Wells County",36,77,960,,,
18,009,18,075,IN,"Jay County",35,84,805,,,
18,009,18,003,IN,"Allen County",16,34,504,,,
18,009,18,001,IN,"Adams County",12,29,262,,,
18,009,18,069,IN,"Huntington County",10,19,250,,,
18,009,18,097,IN,"Marion County",10,16,292,,,
18,009,18,135,IN,"Randolph County",10,20,252,,,
18,009,58,000,SS,"Other Flows - Same State",52,112,1534,,,
18,009,59,000,DS,"Other Flows - Diff State",107,224,2531,,,
18,011,96,000,IN,"Boone County Tot Mig-US & For",1364,2941,67487,,,
18,011,97,000,IN,"Boone County Tot Mig-US",1364,2941,67487,,,
18,011,97,001,IN,"Boone County Tot Mig-Same St",987,2059,48698,,,
18,011,97,003,IN,"Boone County Tot Mig-Diff St",377,882,18789,,,
18,011,18,011,IN,"Boone County Non-Migrants",15615,37921,844970,,,
18,011,18,097,IN,"Marion County",451,916,21751,,,
18,011,18,057,IN,"Hamilton County",122,266,11306,,,
18,011,18,063,IN,"Hendricks County",89,214,4166,,,
18,011,18,107,IN,"Montgomery County",59,125,1798,,,
18,011,18,023,IN,"Clinton County",43,90,936,,,
18,011,18,157,IN,"Tippecanoe County",43,78,1350,,,
18,011,17,031,IL,"Cook County",14,25,1009,,,
18,011,18,081,IN,"Johnson County",14,32,1153,,,
18,011,18,035,IN,"Delaware County",13,24,333,,,
18,011,58,000,SS,"Other Flows - Same State",153,314,5907,,,
18,011,59,000,DS,"Other Flows - Diff State",363,857,17780,,,
18,011,59,001,DS,"Other Flows - Northeast",32,67,2076,,,
18,011,59,003,DS,"Other Flows - Midwest",136,345,8006,,,
18,011,59,005,DS,"Other Flows - South",132,299,4538,,,
18,011,59,007,DS,"Other Flows - West",63,146,3161,,,
18,013,96,000,IN,"Brown County Tot Mig-US & For",653,1347,24633,,,
18,013,97,000,IN,"Brown County Tot Mig-US",653,1347,24633,,,
18,013,97,001,IN,"Brown County Tot Mig-Same St",542,1134,20011,,,
18,013,97,003,IN,"Brown County Tot Mig-Diff St",111,213,4621,,,
18,013,18,013,IN,"Brown County Non-Migrants",5981,13616,234132,,,
18,013,18,097,IN,"Marion County",123,279,5678,,,
18,013,18,081,IN,"Johnson County",97,213,3355,,,
18,013,18,105,IN,"Monroe County",92,145,2489,,,
18,013,18,005,IN,"Bartholomew County",78,180,2811,,,
18,013,18,109,IN,"Morgan County",28,67,1008,,,
18,013,18,063,IN,"Hendricks County",17,33,997,,,
18,013,18,093,IN,"Lawrence County",10,16,190,,,
18,013,58,000,SS,"Other Flows - Same State",97,201,3483,,,
18,013,59,000,DS,"Other Flows - Diff State",111,213,4621,,,
18,015,96,000,IN,"Carroll County Tot Mig-US & For",547,1250,17321,,,
18,015,97,000,IN,"Carroll County Tot Mig-US",547,1250,17321,,,
18,015,97,001,IN,"Carroll County Tot Mig-Same St",424,978,14701,,,
18,015,97,003,IN,"Carroll County Tot Mig-Diff St",123,272,2620,,,
18,015,18,015,IN,"Carroll County Non-Migrants",7680,18221,279160,,,
18,015,18,157,IN,"Tippecanoe County",148,327,5057,,,
18,015,18,181,IN,"White County",76,160,2993,,,
18,015,18,067,IN,"Howard County",59,154,2230,,,
18,015,18,017,IN,"Cass County",31,63,863,,,
18,015,18,023,IN,"Clinton County",27,74,926,,,
18,015,58,000,SS,"Other Flows - Same State",83,200,2631,,,
18,015,59,000,DS,"Other Flows - Diff State",123,272,2620,,,
18,017,96,000,IN,"Cass County Tot Mig-US & For",801,1701,20550,,,
18,017,97,000,IN,"Cass County Tot Mig-US",801,1701,20550,,,
18,017,97,001,IN,"Cass County Tot Mig-Same St",548,1122,14137,,,
18,017,97,003,IN,"Cass County Tot Mig-Diff St",253,579,6413,,,
18,017,18,017,IN,"Cass County Non-Migrants",13772,30980,469124,,,
18,017,18,067,IN,"Howard County",144,314,4149,,,
18,017,18,103,IN,"Miami County",59,126,1394,,,
18,017,18,015,IN,"Carroll County",58,126,1421,,,
18,017,18,181,IN,"White County",45,93,1060,,,
18,017,18,097,IN,"Marion County",29,55,441,,,
18,017,18,157,IN,"Tippecanoe County",27,50,597,,,
18,017,18,049,IN,"Fulton County",26,50,578,,,
18,017,18,131,IN,"Pulaski County",22,30,539,,,
18,017,17,031,IL,"Cook County",12,25,281,,,
18,017,18,149,IN,"Starke County",11,22,159,,,
18,017,18,003,IN,"Allen County",10,14,240,,,
18,017,18,039,IN,"Elkhart County",10,24,215,,,
18,017,18,085,IN,"Kosciusko County",10,13,193,,,
18,017,58,000,SS,"Other Flows - Same State",97,205,3152,,,
18,017,59,000,DS,"Other Flows - Diff State",241,554,6131,,,
18,019,96,000,IN,"Clark County Tot Mig-US & For",2726,5346,75279,,,
18,019,97,000,IN,"Clark County Tot Mig-US",2708,5304,74925,,,
18,019,97,001,IN,"Clark County Tot Mig-Same St",1233,2370,30834,,,
18,019,97,003,IN,"Clark County Tot Mig-Diff St",1475,2934,44091,,,
18,019,98,000,IN,"Clark County Tot Mig-Foreign",18,42,354,,,
18,019,18,019,IN,"Clark County Non-Migrants",33308,71962,1144080,,,
18,019,18,043,IN,"Floyd County",735,1446,18408,,,
18,019,21,111,KY,"Jefferson County",684,1272,21901,,,
18,019,18,061,IN,"Harrison County",88,168,2086,,,
18,019,18,175,IN,"Washington County",73,134,1641,,,
18,019,18,143,IN,"Scott County",70,147,1940,,,
18,019,18,097,IN,"Marion County",41,75,1369,,,
18,019,18,077,IN,"Jefferson County",32,58,574,,,
18,019,21,093,KY,"Hardin County",22,44,479,,,
18,019,21,029,KY,"Bullitt County",21,50,480,,,
18,019,18,163,IN,"Vanderburgh County",16,26,418,,,
18,019,21,185,KY,"Oldham County",15,28,424,,,
18,019,18,105,IN,"Monroe County",14,18,480,,,
18,019,18,089,IN,"Lake County",13,20,456,,,
18,019,47,037,TN,"Davidson County",13,29,462,,,
18,019,17,031,IL,"Cook County",12,29,389,,,
18,019,18,025,IN,"Crawford County",12,16,264,,,
18,019,18,157,IN,"Tippecanoe County",11,19,279,,,
18,019,21,067,KY,"Fayette County",10,21,325,,,
18,019,58,000,SS,"Other Flows - Same State",128,243,2918,,,
18,019,59,000,DS,"Other Flows - Diff State",698,1461,19631,,,
18,019,59,001,DS,"Other Flows - Northeast",48,103,1945,,,
18,019,59,003,DS,"Other Flows - Midwest",151,315,4484,,,
18,019,59,005,DS,"Other Flows - South",413,874,10761,,,
18,019,59,007,DS,"Other Flows - West",86,169,2441,,,
18,019,57,009,FR,"Foreign - Other flows",18,42,354,,,
18,021,96,000,IN,"Clay County Tot Mig-US & For",716,1590,20649,,,
18,021,97,000,IN,"Clay County Tot Mig-US",716,1590,20649,,,
18,021,97,001,IN,"Clay County Tot Mig-Same St",557,1216,15359,,,
18,021,97,003,IN,"Clay County Tot Mig-Diff St",159,374,5290,,,
18,021,18,021,IN,"Clay County Non-Migrants",9727,23263,316693,,,
18,021,18,167,IN,"Vigo County",211,435,6474,,,
18,021,18,133,IN,"Putnam County",72,169,1727,,,
18,021,18,097,IN,"Marion County",52,100,1307,,,
18,021,18,119,IN,"Owen County",41,92,993,,,
18,021,18,055,IN,"Greene County",28,83,774,,,
18,021,18,153,IN,"Sullivan County",26,52,547,,,
18,021,18,121,IN,"Parke County",21,48,471,,,
18,021,18,105,IN,"Monroe County",17,35,400,,,
18,021,18,063,IN,"Hendricks County",16,39,611,,,
18,021,18,109,IN,"Morgan County",10,24,319,,,
18,021,58,000,SS,"Other Flows - Same State",63,139,1736,,,
18,021,59,000,DS,"Other Flows - Diff State",159,374,5290,,,
18,021,59,001,DS,"Other Flows - Northeast",13,31,639,,,
18,021,59,003,DS,"Other Flows - Midwest",63,155,1942,,,
18,021,59,005,DS,"Other Flows - South",55,123,1813,,,
18,021,59,007,DS,"Other Flows - West",28,65,895,,,
18,023,96,000,IN,"Clinton County Tot Mig-US & For",747,1656,19749,,,
18,023,97,000,IN,"Clinton County Tot Mig-US",747,1656,19749,,,
18,023,97,001,IN,"Clinton County Tot Mig-Same St",527,1120,14713,,,
18,023,97,003,IN,"Clinton County Tot Mig-Diff St",220,536,5036,,,
18,023,18,023,IN,"Clinton County Non-Migrants",11302,26584,403058,,,
18,023,18,157,IN,"Tippecanoe County",184,373,5314,,,
18,023,18,067,IN,"Howard County",61,124,2052,,,
18,023,18,011,IN,"Boone County",46,86,884,,,
18,023,18,097,IN,"Marion County",38,75,1163,,,
18,023,18,015,IN,"Carroll County",34,76,923,,,
18,023,18,057,IN,"Hamilton County",25,69,575,,,
18,023,06,037,CA,"Los Angeles County",13,41,261,,,
18,023,18,107,IN,"Montgomery County",11,26,273,,,
18,023,18,181,IN,"White County",11,26,385,,,
18,023,18,159,IN,"Tipton County",10,17,221,,,
18,023,58,000,SS,"Other Flows - Same State",107,248,2922,,,
18,023,59,000,DS,"Other Flows - Diff State",207,495,4776,,,
18,023,59,001,DS,"Other Flows - Northeast",13,29,343,,,
18,023,59,003,DS,"Other Flows - Midwest",56,121,1749,,,
18,023,59,005,DS,"Other Flows - South",112,289,2254,,,
18,023,59,007,DS,"Other Flows - West",26,56,430,,,
18,025,96,000,IN,"Crawford County Tot Mig-US & For",273,564,6186,,,
18,025,97,000,IN,"Crawford County Tot Mig-US",273,564,6186,,,
18,025,97,001,IN,"Crawford County Tot Mig-Same St",194,412,4682,,,
18,025,97,003,IN,"Crawford County Tot Mig-Diff St",79,152,1505,,,
18,025,18,025,IN,"Crawford County Non-Migrants",3484,8198,93250,,,
18,025,18,061,IN,"Harrison County",49,105,947,,,
18,025,18,043,IN,"Floyd County",25,45,678,,,
18,025,18,037,IN,"Dubois County",20,35,400,,,
18,025,18,117,IN,"Orange County",20,44,333,,,
18,025,18,175,IN,"Washington County",16,33,281,,,
18,025,21,111,KY,"Jefferson County",15,21,303,,,
18,025,18,019,IN,"Clark County",13,28,236,,,
18,025,58,000,SS,"Other Flows - Same State",51,122,1806,,,
18,025,59,000,DS,"Other Flows - Diff State",64,131,1202,,,
18,027,96,000,IN,"Daviess County Tot Mig-US & For",454,1020,11975,,,
18,027,97,000,IN,"Daviess County Tot Mig-US",454,1020,11975,,,
18,027,97,001,IN,"Daviess County Tot Mig-Same St",294,673,7519,,,
18,027,97,003,IN,"Daviess County Tot Mig-Diff St",160,347,4455,,,
18,027,18,027,IN,"Daviess County Non-Migrants",9649,23590,298944,,,
18,027,18,101,IN,"Martin County",48,105,1114,,,
18,027,18,083,IN,"Knox County",46,106,997,,,
18,027,18,055,IN,"Greene County",19,47,501,,,
18,027,18,097,IN,"Marion County",18,38,846,,,
18,027,18,163,IN,"Vanderburgh County",18,45,504,,,
18,027,18,125,IN,"Pike County",17,31,446,,,
18,027,18,037,IN,"Dubois County",16,33,365,,,
18,027,18,051,IN,"Gibson County",13,27,233,,,
18,027,18,105,IN,"Monroe County",13,22,250,,,
18,027,18,167,IN,"Vigo County",10,24,275,,,
18,027,58,000,SS,"Other Flows - Same State",76,195,1990,,,
18,027,59,000,DS,"Other Flows - Diff State",160,347,4455,,,
18,027,59,001,DS,"Other Flows - Northeast",10,20,616,,,
18,027,59,003,DS,"Other Flows - Midwest",62,138,1726,,,
18,027,59,005,DS,"Other Flows - South",64,141,1623,,,
18,027,59,007,DS,"Other Flows - West",24,48,491,,,
18,029,96,000,IN,"Dearborn County Tot Mig-US & For",1187,2558,40473,,,
18,029,97,000,IN,"Dearborn County Tot Mig-US",1187,2558,40473,,,
18,029,97,001,IN,"Dearborn County Tot Mig-Same St",314,656,8527,,,
18,029,97,003,IN,"Dearborn County Tot Mig-Diff St",873,1902,31946,,,
18,029,18,029,IN,"Dearborn County Non-Migrants",15665,38094,603291,,,
18,029,39,061,OH,"Hamilton County",469,1043,16673,,,
18,029,18,137,IN,"Ripley County",85,189,1777,,,
18,029,18,047,IN,"Franklin County",66,134,1723,,,
18,029,18,115,IN,"Ohio County",53,103,1519,,,
18,029,39,017,OH,"Butler County",44,92,2080,,,
18,029,21,117,KY,"Kenton County",32,56,976,,,
18,029,21,015,KY,"Boone County",31,72,1410,,,
18,029,18,097,IN,"Marion County",19,36,536,,,
18,029,39,025,OH,"Clermont County",16,30,452,,,
18,029,18,155,IN,"Switzerland County",15,27,515,,,
18,029,21,037,KY,"Campbell County",11,26,594,,,
18,029,58,000,SS,"Other Flows - Same State",76,167,2457,,,
18,029,59,000,DS,"Other Flows - Diff State",270,583,9761,,,
18,029,59,001,DS,"Other Flows - Northeast",17,42,901,,,
18,029,59,003,DS,"Other Flows - Midwest",86,180,3419,,,
18,029,59,005,DS,"Other Flows - South",131,279,3755,,,
18,029,59,007,DS,"Other Flows - West",36,82,1685,,,
18,031,96,000,IN,"Decatur County Tot Mig-US & For",571,1189,14488,,,
18,031,97,000,IN,"Decatur County Tot Mig-US",571,1189,14488,,,
18,031,97,001,IN,"Decatur County Tot Mig-Same St",438,918,11086,,,
18,031,97,003,IN,"Decatur County Tot Mig-Diff St",133,271,3403,,,
18,031,18,031,IN,"Decatur County Non-Migrants",9305,21962,317476,,,
18,031,18,005,IN,"Bartholomew County",68,140,1874,,,
18,031,18,145,IN,"Shelby County",57,136,1406,,,
18,031,18,047,IN,"Franklin County",55,102,1053,,,
18,031,18,139,IN,"Rush County",51,104,1249,,,
18,031,18,097,IN,"Marion County",41,76,1365,,,
18,031,18,137,IN,"Ripley County",39,79,1010,,,
18,031,18,079,IN,"Jennings County",31,72,716,,,
18,031,18,071,IN,"Jackson County",10,21,158,,,
18,031,58,000,SS,"Other Flows - Same State",86,188,2256,,,
18,031,59,000,DS,"Other Flows - Diff State",133,271,3403,,,
18,031,59,001,DS,"Other Flows - Northeast",10,17,198,,,
18,031,59,003,DS,"Other Flows - Midwest",44,86,1418,,,
18,031,59,005,DS,"Other Flows - South",55,117,1245,,,
18,031,59,007,DS,"Other Flows - West",24,51,541,,,
18,033,96,000,IN,"De Kalb County Tot Mig-US & For",892,1891,25080,,,
18,033,97,000,IN,"De Kalb County Tot Mig-US",892,1891,25080,,,
18,033,97,001,IN,"De Kalb County Tot Mig-Same St",624,1314,17476,,,
18,033,97,003,IN,"De Kalb County Tot Mig-Diff St",268,577,7604,,,
18,033,18,033,IN,"De Kalb County Non-Migrants",13888,32591,533147,,,
18,033,18,003,IN,"Allen County",213,467,7525,,,
18,033,18,151,IN,"Steuben County",135,272,2975,,,
18,033,18,113,IN,"Noble County",133,252,2746,,,
18,033,18,087,IN,"Lagrange County",27,66,727,,,
18,033,39,171,OH,"Williams County",27,66,623,,,
18,033,39,039,OH,"Defiance County",22,42,541,,,
18,033,18,183,IN,"Whitley County",13,23,372,,,
18,033,18,039,IN,"Elkhart County",10,24,319,,,
18,033,58,000,SS,"Other Flows - Same State",93,210,2812,,,
18,033,59,000,DS,"Other Flows - Diff State",219,469,6440,,,
18,033,59,001,DS,"Other Flows - Northeast",14,32,541,,,
18,033,59,003,DS,"Other Flows - Midwest",115,238,3282,,,
18,033,59,005,DS,"Other Flows - South",69,164,2038,,,
18,033,59,007,DS,"Other Flows - West",21,35,580,,,
18,035,96,000,IN,"Delaware County Tot Mig-US & For",2417,4494,63227,,,
18,035,97,000,IN,"Delaware County Tot Mig-US",2343,4406,62703,,,
18,035,97,001,IN,"Delaware County Tot Mig-Same St",1523,2695,38808,,,
18,035,97,003,IN,"Delaware County Tot Mig-Diff St",820,1711,23896,,,
18,035,98,000,IN,"Delaware County Tot Mig-Foreign",74,88,524,,,
18,035,18,035,IN,"Delaware County Non-Migrants",38539,83991,1462475,,,
18,035,18,095,IN,"Madison County",231,451,6093,,,
18,035,18,097,IN,"Marion County",200,335,5103,,,
18,035,18,135,IN,"Randolph County",151,289,3100,,,
18,035,18,065,IN,"Henry County",122,215,2916,,,
18,035,18,009,IN,"Blackford County",92,161,1872,,,
18,035,18,053,IN,"Grant County",83,153,5164,,,
