"2002-2003 County To County Migration  Outflows",,,,,,"South Dakota
",,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,
,,,,,,,,
"Migration from",,"Migration into",,,,Number,Number,Aggregate
"South Dakota
",,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross
"FIPS Code",,,,,"and county by county detail",,,income
,,,,,,,,
46,000,96,000,SD,"Total Mig - US & For",23598,42959,715468
46,000,97,000,SD,"Total Mig - US",23338,42473,709054
46,000,97,001,SD,"Total Mig - US Same St",12437,22459,367064
46,000,97,003,SD,"Total Mig - US Diff St",10901,20014,341990
46,000,98,000,SD,"Total Mig - Foreign",260,486,6414
46,003,96,000,SD,"Aurora County Tot Mig-US & For",69,119,1784
46,003,97,000,SD,"Aurora County Tot Mig-US",69,119,1784
46,003,97,001,SD,"Aurora County Tot Mig-Same St",53,91,1405
46,003,97,003,SD,"Aurora County Tot Mig-Diff St",16,28,379
46,003,46,003,SD,"Aurora County Non-Migrants",1166,2711,32562
46,003,46,035,SD,"Davison County",18,31,433
46,003,58,000,SS,"Other Flows - Same State",35,60,972
46,003,59,000,DS,"Other Flows - Diff State",16,28,379
46,005,96,000,SD,"Beadle County Tot Mig-US & For",447,829,12973
46,005,97,000,SD,"Beadle County Tot Mig-US",447,829,12973
46,005,97,001,SD,"Beadle County Tot Mig-Same St",261,480,7658
46,005,97,003,SD,"Beadle County Tot Mig-Diff St",186,349,5315
46,005,46,005,SD,"Beadle County Non-Migrants",6089,13317,217915
46,005,46,099,SD,"Minnehaha County",60,102,1831
46,005,46,029,SD,"Codington County",21,37,610
46,005,46,035,SD,"Davison County",21,52,677
46,005,46,011,SD,"Brookings County",19,28,298
46,005,46,103,SD,"Pennington County",19,42,416
46,005,46,013,SD,"Brown County",15,21,488
46,005,46,083,SD,"Lincoln County",12,19,488
46,005,58,000,SS,"Other Flows - Same State",94,179,2851
46,005,59,000,DS,"Other Flows - Diff State",186,349,5315
46,007,96,000,SD,"Bennett County Tot Mig-US & For",85,168,1862
46,007,97,000,SD,"Bennett County Tot Mig-US",85,168,1862
46,007,97,001,SD,"Bennett County Tot Mig-Same St",38,70,922
46,007,97,003,SD,"Bennett County Tot Mig-Diff St",47,98,941
46,007,46,007,SD,"Bennett County Non-Migrants",891,2306,26242
46,007,46,103,SD,"Pennington County",15,23,300
46,007,58,000,SS,"Other Flows - Same State",23,47,622
46,007,59,000,DS,"Other Flows - Diff State",47,98,941
46,009,96,000,SD,"Bon Homme Count Tot Mig-US & For",139,251,3777
46,009,97,000,SD,"Bon Homme Count Tot Mig-US",139,251,3777
46,009,97,001,SD,"Bon Homme Count Tot Mig-Same St",96,172,2650
46,009,97,003,SD,"Bon Homme Count Tot Mig-Diff St",43,79,1127
46,009,46,009,SD,"Bon Homme Count Non-Migrants",2216,5047,68543
46,009,46,135,SD,"Yankton County",36,61,834
46,009,46,099,SD,"Minnehaha County",20,30,517
46,009,58,000,SS,"Other Flows - Same State",40,81,1299
46,009,59,000,DS,"Other Flows - Diff State",43,79,1127
46,011,96,000,SD,"Brookings Count Tot Mig-US & For",975,1630,28589
46,011,97,000,SD,"Brookings Count Tot Mig-US",962,1612,28388
46,011,97,001,SD,"Brookings Count Tot Mig-Same St",481,828,14772
46,011,97,003,SD,"Brookings Count Tot Mig-Diff St",481,784,13616
46,011,98,000,SD,"Brookings Count Tot Mig-Foreign",13,18,202
46,011,46,011,SD,"Brookings Count Non-Migrants",8973,19841,404993
46,011,46,099,SD,"Minnehaha County",177,293,5896
46,011,46,029,SD,"Codington County",33,58,1060
46,011,46,083,SD,"Lincoln County",28,51,949
46,011,27,053,MN,"Hennepin County",26,30,556
