"2002-2003 County To County Migration  Inflows",,,,,,"North Dakota",,,,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,,,,
,,,,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate,,,
"North Dakota",,,,,,of,of,adjusted,,,
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross,,,
"FIPS Code",,,,,"and county by county detail",,,income,,,
,,,,,,,,,,,
38,000,96,000,ND,"Total Mig - US & For",17056,29690,472487,,,
38,000,97,000,ND,"Total Mig - US",16420,28589,461633,,,
38,000,97,001,ND,"Total Mig - US Same St",7951,13564,209439,,,
38,000,97,003,ND,"Total Mig - US Diff St",8469,15025,252193,,,
38,000,98,000,ND,"Total Mig - Foreign",636,1101,10854,,,
38,001,96,000,ND,"Adams County Tot Mig-US & For",50,107,1432,,,"North Dakota"
38,001,97,000,ND,"Adams County Tot Mig-US",50,107,1432,,,
38,001,97,001,ND,"Adams County Tot Mig-Same St",25,50,545,,,
38,001,97,003,ND,"Adams County Tot Mig-Diff St",25,57,887,,,
38,001,38,001,ND,"Adams County Non-Migrants",851,1901,27688,,,
38,001,58,000,SS,"Other Flows - Same State",25,50,545,,,
38,001,59,000,DS,"Other Flows - Diff State",25,57,887,,,
38,003,96,000,ND,"Barnes County Tot Mig-US & For",221,386,5364,,,
38,003,97,000,ND,"Barnes County Tot Mig-US",221,386,5364,,,
38,003,97,001,ND,"Barnes County Tot Mig-Same St",143,239,3511,,,
38,003,97,003,ND,"Barnes County Tot Mig-Diff St",78,147,1853,,,
38,003,38,003,ND,"Barnes County Non-Migrants",4081,9009,156049,,,
38,003,38,017,ND,"Cass County",43,82,1078,,,
38,003,38,093,ND,"Stutsman County",21,27,611,,,
38,003,38,015,ND,"Burleigh County",10,15,244,,,
38,003,38,039,ND,"Griggs County",10,17,198,,,
38,003,58,000,SS,"Other Flows - Same State",59,98,1380,,,
38,003,59,000,DS,"Other Flows - Diff State",78,147,1853,,,
38,005,96,000,ND,"Benson County Tot Mig-US & For",115,241,2618,,,
38,005,97,000,ND,"Benson County Tot Mig-US",115,241,2618,,,
38,005,97,001,ND,"Benson County Tot Mig-Same St",72,156,1460,,,
38,005,97,003,ND,"Benson County Tot Mig-Diff St",43,85,1158,,,
38,005,38,005,ND,"Benson County Non-Migrants",2238,5419,58689,,,
38,005,38,071,ND,"Ramsey County",36,74,695,,,
38,005,58,000,SS,"Other Flows - Same State",36,82,765,,,
38,005,59,000,DS,"Other Flows - Diff State",43,85,1158,,,
38,007,96,000,ND,"Billings County Tot Mig-US & For",22,38,904,,,
38,007,97,000,ND,"Billings County Tot Mig-US",22,38,904,,,
38,007,97,001,ND,"Billings County Tot Mig-Same St",12,21,403,,,
38,007,97,003,ND,"Billings County Tot Mig-Diff St",10,17,501,,,
38,007,38,007,ND,"Billings County Non-Migrants",303,697,8702,,,
38,007,58,000,SS,"Other Flows - Same State",12,21,403,,,
38,007,59,000,DS,"Other Flows - Diff State",10,17,501,,,
38,009,96,000,ND,"Bottineau Count Tot Mig-US & For",149,288,4767,,,
38,009,97,000,ND,"Bottineau Count Tot Mig-US",149,288,4767,,,
38,009,97,001,ND,"Bottineau Count Tot Mig-Same St",93,183,3182,,,
38,009,97,003,ND,"Bottineau Count Tot Mig-Diff St",56,105,1584,,,
38,009,38,009,ND,"Bottineau Count Non-Migrants",2582,5636,90954,,,
38,009,38,101,ND,"Ward County",24,40,740,,,
38,009,38,079,ND,"Rolette County",10,21,479,,,
38,009,58,000,SS,"Other Flows - Same State",59,122,1963,,,
38,009,59,000,DS,"Other Flows - Diff State",56,105,1584,,,
38,011,96,000,ND,"Bowman County Tot Mig-US & For",73,146,1884,,,
38,011,97,000,ND,"Bowman County Tot Mig-US",73,146,1884,,,
38,011,97,001,ND,"Bowman County Tot Mig-Same St",34,65,910,,,
38,011,97,003,ND,"Bowman County Tot Mig-Diff St",39,81,973,,,
38,011,38,011,ND,"Bowman County Non-Migrants",1219,2773,42083,,,
38,011,38,089,ND,"Stark County",11,22,367,,,
38,011,58,000,SS,"Other Flows - Same State",23,43,543,,,
38,011,59,000,DS,"Other Flows - Diff State",39,81,973,,,
38,013,96,000,ND,"Burke County Tot Mig-US & For",42,96,1367,,,
38,013,97,000,ND,"Burke County Tot Mig-US",42,96,1367,,,
38,013,97,001,ND,"Burke County Tot Mig-Same St",26,50,804,,,
38,013,97,003,ND,"Burke County Tot Mig-Diff St",16,46,562,,,
38,013,38,013,ND,"Burke County Non-Migrants",920,2008,29722,,,
38,013,58,000,SS,"Other Flows - Same State",26,50,804,,,
38,013,59,000,DS,"Other Flows - Diff State",16,46,562,,,
38,015,96,000,ND,"Burleigh County Tot Mig-US & For",1981,3417,59781,,,
38,015,97,000,ND,"Burleigh County Tot Mig-US",1981,3417,59781,,,
38,015,97,001,ND,"Burleigh County Tot Mig-Same St",1313,2229,36767,,,
38,015,97,003,ND,"Burleigh County Tot Mig-Diff St",668,1188,23014,,,
38,015,38,015,ND,"Burleigh County Non-Migrants",26291,57846,1316715,,,
38,015,38,059,ND,"Morton County",395,734,12297,,,
38,015,38,017,ND,"Cass County",135,211,3822,,,
38,015,38,101,ND,"Ward County",92,169,2148,,,
38,015,38,089,ND,"Stark County",70,118,2228,,,
38,015,38,035,ND,"Grand Forks County",68,111,1642,,,
38,015,38,055,ND,"Mclean County",68,108,1615,,,
38,015,38,057,ND,"Mercer County",51,73,1704,,,
38,015,38,093,ND,"Stutsman County",45,73,1137,,,
38,015,38,029,ND,"Emmons County",36,51,936,,,
38,015,27,053,MN,"Hennepin County",29,47,1116,,,
38,015,38,105,ND,"Williams County",27,42,779,,,
38,015,38,085,ND,"Sioux County",26,53,464,,,
38,015,38,043,ND,"Kidder County",23,33,795,,,
38,015,38,079,ND,"Rolette County",18,38,251,,,
38,015,38,061,ND,"Mountrail County",17,28,227,,,
38,015,38,065,ND,"Oliver County",17,25,348,,,
38,015,38,051,ND,"Mcintosh County",16,27,351,,,
38,015,38,071,ND,"Ramsey County",15,30,507,,,
38,015,27,037,MN,"Dakota County",14,29,781,,,
38,015,27,123,MN,"Ramsey County",14,22,497,,,
38,015,04,013,AZ,"Maricopa County",13,18,682,,,
38,015,38,037,ND,"Grant County",12,14,214,,,
38,015,38,047,ND,"Logan County",12,21,443,,,
38,015,38,077,ND,"Richland County",12,21,300,,,
38,015,08,069,CO,"Larimer County",10,17,318,,,
38,015,32,003,NV,"Clark County",10,13,597,,,
38,015,38,069,ND,"Pierce County",10,14,244,,,
38,015,38,103,ND,"Wells County",10,16,210,,,
38,015,58,000,SS,"Other Flows - Same State",138,219,4105,,,
38,015,59,000,DS,"Other Flows - Diff State",578,1042,19021,,,
38,015,59,001,DS,"Other Flows - Northeast",17,28,1113,,,
38,015,59,003,DS,"Other Flows - Midwest",263,493,7858,,,
38,015,59,005,DS,"Other Flows - South",73,126,2988,,,
38,015,59,007,DS,"Other Flows - West",225,395,7061,,,
38,017,96,000,ND,"Cass County Tot Mig-US & For",4454,6871,126940,,,
38,017,97,000,ND,"Cass County Tot Mig-US",4297,6695,125667,,,
38,017,97,001,ND,"Cass County Tot Mig-Same St",1672,2436,43552,,,
38,017,97,003,ND,"Cass County Tot Mig-Diff St",2625,4259,82115,,,
38,017,98,000,ND,"Cass County Tot Mig-Foreign",157,176,1273,,,
38,017,38,017,ND,"Cass County Non-Migrants",46899,98555,2398015,,,
38,017,27,027,MN,"Clay County",580,870,14934,,,
38,017,38,035,ND,"Grand Forks County",209,332,5656,,,
38,017,38,015,ND,"Burleigh County",196,294,6094,,,
38,017,38,077,ND,"Richland County",144,207,3309,,,
38,017,27,111,MN,"Otter Tail County",125,177,2982,,,
38,017,38,101,ND,"Ward County",125,212,3635,,,
38,017,27,053,MN,"Hennepin County",117,199,5029,,,
38,017,38,093,ND,"Stutsman County",102,153,2590,,,
38,017,38,003,ND,"Barnes County",96,130,2043,,,
38,017,27,005,MN,"Becker County",81,113,2138,,,
38,017,38,097,ND,"Traill County",74,111,1914,,,
38,017,38,059,ND,"Morton County",69,102,1440,,,
38,017,38,073,ND,"Ransom County",56,78,1240,,,
38,017,38,089,ND,"Stark County",49,68,1145,,,
38,017,27,119,MN,"Polk County",48,67,1160,,,
38,017,38,099,ND,"Walsh County",47,79,1334,,,
38,017,38,071,ND,"Ramsey County",46,68,995,,,
38,017,46,099,SD,"Minnehaha County",43,75,1804,,,
38,017,27,107,MN,"Norman County",39,54,993,,,
38,017,04,013,AZ,"Maricopa County",33,60,1136,,,
38,017,38,079,ND,"Rolette County",33,61,653,,,
38,017,27,123,MN,"Ramsey County",31,48,1171,,,
38,017,27,145,MN,"Stearns County",31,43,804,,,
38,017,27,167,MN,"Wilkin County",30,35,875,,,
38,017,38,105,ND,"Williams County",30,43,1054,,,
38,017,27,041,MN,"Douglas County",29,43,810,,,
38,017,27,037,MN,"Dakota County",28,40,975,,,
38,017,38,081,ND,"Sargent County",28,41,778,,,
38,017,27,137,MN,"St Louis County",27,45,870,,,
38,017,46,013,SD,"Brown County",27,42,770,,,
38,017,27,003,MN,"Anoka County",26,38,821,,,
38,017,38,067,ND,"Pembina County",26,33,714,,,
38,017,46,029,SD,"Codington County",26,61,1328,,,
38,017,27,135,MN,"Roseau County",22,26,434,,,
38,017,38,021,ND,"Dickey County",22,25,1320,,,
38,017,27,159,MN,"Wadena County",21,27,534,,,
38,017,38,045,ND,"La Moure County",20,24,407,,,
38,017,27,109,MN,"Olmsted County",19,34,585,,,
38,017,27,113,MN,"Pennington County",19,28,384,,,
38,017,38,005,ND,"Benson County",19,28,525,,,
38,017,53,033,WA,"King County",19,39,794,,,
38,017,27,007,MN,"Beltrami County",18,28,436,,,
38,017,38,027,ND,"Eddy County",18,22,1022,,,
38,017,38,091,ND,"Steele County",17,24,422,,,
38,017,57,005,FR,"Foreign - APO/FPO ZIPs",17,22,363,,,
38,017,08,041,CO,"El Paso County",16,30,606,,,
38,017,38,009,ND,"Bottineau County",16,19,292,,,
38,017,27,089,MN,"Marshall County",15,15,209,,,
38,017,27,171,MN,"Wright County",15,23,620,,,
38,017,38,055,ND,"Mclean County",15,22,304,,,
38,017,38,063,ND,"Nelson County",15,22,287,,,
38,017,27,083,MN,"Lyon County",14,19,378,,,
38,017,38,019,ND,"Cavalier County",14,17,288,,,
38,017,38,029,ND,"Emmons County",14,18,394,,,
38,017,27,057,MN,"Hubbard County",13,20,187,,,
38,017,38,039,ND,"Griggs County",13,15,298,,,
38,017,38,103,ND,"Wells County",13,14,263,,,
38,017,30,111,MT,"Yellowstone County",12,17,381,,,
38,017,38,057,ND,"Mercer County",12,15,319,,,
38,017,38,069,ND,"Pierce County",12,12,257,,,
38,017,38,095,ND,"Towner County",12,14,243,,,
38,017,06,073,CA,"San Diego County",11,22,627,,,
38,017,17,031,IL,"Cook County",11,19,272,,,
38,017,27,149,MN,"Stevens County",11,15,270,,,
38,017,17,167,IL,"Sangamon County",10,36,943,,,
38,017,27,021,MN,"Cass County",10,15,231,,,
38,017,27,141,MN,"Sherburne County",10,16,234,,,
38,017,27,163,MN,"Washington County",10,23,637,,,
38,017,32,003,NV,"Clark County",10,14,289,,,
38,017,38,031,ND,"Foster County",10,13,352,,,
38,017,38,083,ND,"Sheridan County",10,11,192,,,
38,017,46,091,SD,"Marshall County",10,13,213,,,
38,017,48,201,TX,"Harris County",10,14,351,,,
38,017,58,000,SS,"Other Flows - Same State",90,109,1774,,,
38,017,59,000,DS,"Other Flows - Diff State",998,1756,33899,,,
38,017,59,001,DS,"Other Flows - Northeast",57,86,2356,,,
38,017,59,003,DS,"Other Flows - Midwest",490,829,16243,,,
38,017,59,005,DS,"Other Flows - South",209,410,7407,,,
38,017,59,007,DS,"Other Flows - West",242,431,7892,,,
38,017,57,009,FR,"Foreign - Other flows",140,154,910,,,
38,019,96,000,ND,"Cavalier County Tot Mig-US & For",60,110,1310,,,
38,019,97,000,ND,"Cavalier County Tot Mig-US",60,110,1310,,,
38,019,97,001,ND,"Cavalier County Tot Mig-Same St",37,66,660,,,
38,019,97,003,ND,"Cavalier County Tot Mig-Diff St",23,44,650,,,
38,019,38,019,ND,"Cavalier County Non-Migrants",1857,4152,69579,,,
38,019,58,000,SS,"Other Flows - Same State",37,66,660,,,
38,019,59,000,DS,"Other Flows - Diff State",23,44,650,,,
38,021,96,000,ND,"Dickey County Tot Mig-US & For",103,189,2357,,,
38,021,97,000,ND,"Dickey County Tot Mig-US",103,189,2357,,,
38,021,97,001,ND,"Dickey County Tot Mig-Same St",32,54,690,,,
38,021,97,003,ND,"Dickey County Tot Mig-Diff St",71,135,1668,,,
38,021,38,021,ND,"Dickey County Non-Migrants",1952,4463,66563,,,
38,021,58,000,SS,"Other Flows - Same State",32,54,690,,,
38,021,59,000,DS,"Other Flows - Diff State",71,135,1668,,,
38,023,96,000,ND,"Divide County Tot Mig-US & For",45,78,1105,,,
38,023,97,000,ND,"Divide County Tot Mig-US",45,78,1105,,,
38,023,97,001,ND,"Divide County Tot Mig-Same St",23,39,413,,,
38,023,97,003,ND,"Divide County Tot Mig-Diff St",22,39,692,,,
38,023,38,023,ND,"Divide County Non-Migrants",851,1794,26874,,,
38,023,58,000,SS,"Other Flows - Same State",23,39,413,,,
38,023,59,000,DS,"Other Flows - Diff State",22,39,692,,,
38,025,96,000,ND,"Dunn County Tot Mig-US & For",58,116,1080,,,
38,025,97,000,ND,"Dunn County Tot Mig-US",58,116,1080,,,
38,025,97,001,ND,"Dunn County Tot Mig-Same St",36,67,720,,,
38,025,97,003,ND,"Dunn County Tot Mig-Diff St",22,49,360,,,
38,025,38,025,ND,"Dunn County Non-Migrants",1174,2777,31737,,,
38,025,58,000,SS,"Other Flows - Same State",36,67,720,,,
38,025,59,000,DS,"Other Flows - Diff State",22,49,360,,,
38,027,96,000,ND,"Eddy County Tot Mig-US & For",59,103,1292,,,
38,027,97,000,ND,"Eddy County Tot Mig-US",59,103,1292,,,
38,027,97,001,ND,"Eddy County Tot Mig-Same St",41,69,832,,,
38,027,97,003,ND,"Eddy County Tot Mig-Diff St",18,34,459,,,
38,027,38,027,ND,"Eddy County Non-Migrants",891,1988,29248,,,
38,027,58,000,SS,"Other Flows - Same State",41,69,832,,,
38,027,59,000,DS,"Other Flows - Diff State",18,34,459,,,
38,029,96,000,ND,"Emmons County Tot Mig-US & For",47,95,1368,,,
38,029,97,000,ND,"Emmons County Tot Mig-US",47,95,1368,,,
38,029,97,001,ND,"Emmons County Tot Mig-Same St",33,62,885,,,
38,029,97,003,ND,"Emmons County Tot Mig-Diff St",14,33,483,,,
38,029,38,029,ND,"Emmons County Non-Migrants",1403,3241,37019,,,
38,029,38,015,ND,"Burleigh County",11,19,231,,,
38,029,58,000,SS,"Other Flows - Same State",22,43,654,,,
38,029,59,000,DS,"Other Flows - Diff State",14,33,483,,,
38,031,96,000,ND,"Foster County Tot Mig-US & For",70,116,1857,,,
38,031,97,000,ND,"Foster County Tot Mig-US",70,116,1857,,,
38,031,97,001,ND,"Foster County Tot Mig-Same St",49,78,1457,,,
38,031,97,003,ND,"Foster County Tot Mig-Diff St",21,38,400,,,
38,031,38,031,ND,"Foster County Non-Migrants",1263,2941,50134,,,
38,031,38,017,ND,"Cass County",12,17,448,,,
