"1996-1997 County To County Migration Inflows",,,,,,"United States",,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
"United States",,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",Returns,Exemptions,Gross
"FIPS Code",,,,,"and county by county detail",,,Income
,,,,,,,,
00,000,96,000,US,"Total Mig - US & For",6590573,12674424,225160987
00,000,97,000,US,"Total Mig - US",6405891,12368277,221472189
00,000,97,001,US,"Total Mig - US Same St",3566477,6832374,116660909
00,000,97,003,US,"Total Mig - US Diff St",2839414,5535903,104811281
00,000,98,000,US,"Total Mig - Foreign",184682,306147,3688798
